text,label
I love this product,positive
This is amazing,positive
Absolutely fantastic service,positive
I am very happy,positive
This is not bad,positive
I like it a lot,positive
She looks very pretty,positive
Great quality and fast delivery,positive
Best purchase ever,positive
Exceeded my expectations,positive
Wonderful experience,positive
Highly recommend,positive
Outstanding performance,positive
Perfect for my needs,positive
I'm thrilled with it,positive
Couldn't be happier,positive
Five stars all the way,positive
Love the design,positive
Super comfortable,positive
Makes my life easier,positive
Brilliant idea,positive
Top-notch quality,positive
Delightful surprise,positive
Joyful experience,positive
Pure happiness,positive

Worst experience ever,negative
I hate this,negative
Very disappointing,negative
This is not good,negative
Terrible service,negative
I am unhappy,negative
Waste of money,negative
Poor quality,negative
Broken upon arrival,negative
Never buying again,negative
Horrible customer service,negative
Does not work as advertised,negative
Very slow and unreliable,negative
Overpriced junk,negative
Dangerously defective,negative
Useless product,negative
Regret this purchase,negative
Angry and frustrated,negative
Big mistake,negative
Avoid at all costs,negative
Nightmare experience,negative
Unacceptable quality,negative
Disgusting,negative
Furious with this,negative
Total scam,negative

It is okay,neutral
Nothing special,neutral
Average experience,neutral
Not great not terrible,neutral
It's fine,neutral
Mediocre performance,neutral
Standard fare,neutral
So-so quality,neutral
Acceptable but nothing more,neutral
Middle of the road,neutral
Passable service,neutral
Decent enough,neutral
Neither good nor bad,neutral
Fairly average,neutral
Run of the mill,neutral
OK but unremarkable,neutral
Tolerable,neutral
Nothing to write home about,neutral
Just okay,neutral
Middle ground,neutral
Status quo,neutral
Plain vanilla,neutral
Unexceptional,neutral
Routine experience,neutral
Satisfactory but bland,neutral
